,Country,Country Code,Year,GDP,Topic,Gender,PISA-Score
90,United States,USA,2000,36334.90878,PISAREAD,BOY,490.0
91,United States,USA,2000,36334.90878,PISAREAD,GIRL,518.0
92,United States,USA,2000,36334.90878,PISAREAD,TOT,504.0
93,Australia,AUS,2003,29693.90591,PISAMATH,BOY,527.0
94,Australia,AUS,2003,29693.90591,PISAMATH,GIRL,522.0
95,Australia,AUS,2003,29693.90591,PISAMATH,TOT,524.0
96,Australia,AUS,2003,29693.90591,PISAREAD,BOY,506.0
97,Australia,AUS,2003,29693.90591,PISAREAD,GIRL,545.0
98,Australia,AUS,2003,29693.90591,PISAREAD,TOT,525.0
99,Austria,AUT,2003,32108.63255,PISAMATH,BOY,509.0
100,Austria,AUT,2003,32108.63255,PISAMATH,GIRL,502.0
101,Austria,AUT,2003,32108.63255,PISAMATH,TOT,506.0
102,Austria,AUT,2003,32108.63255,PISAREAD,BOY,467.0
103,Austria,AUT,2003,32108.63255,PISAREAD,GIRL,514.0
104,Austria,AUT,2003,32108.63255,PISAREAD,TOT,491.0
105,Belgium,BEL,2003,30898.60744,PISAMATH,BOY,533.0
106,Belgium,BEL,2003,30898.60744,PISAMATH,GIRL,525.0
107,Belgium,BEL,2003,30898.60744,PISAMATH,TOT,529.0
108,Belgium,BEL,2003,30898.60744,PISAREAD,BOY,489.0
109,Belgium,BEL,2003,30898.60744,PISAREAD,GIRL,526.0
110,Belgium,BEL,2003,30898.60744,PISAREAD,TOT,507.0
111,Brazil,BRA,2003,9747.941038,PISAMATH,BOY,365.0
112,Brazil,BRA,2003,9747.941038,PISAMATH,GIRL,348.0
113,Brazil,BRA,2003,9747.941038,PISAMATH,TOT,356.0
114,Brazil,BRA,2003,9747.941038,PISAREAD,BOY,384.0
115,Brazil,BRA,2003,9747.941038,PISAREAD,GIRL,419.0
116,Brazil,BRA,2003,9747.941038,PISAREAD,TOT,403.0
117,Canada,CAN,2003,32225.05212,PISAMATH,BOY,541.0
118,Canada,CAN,2003,32225.05212,PISAMATH,GIRL,530.0
119,Canada,CAN,2003,32225.05212,PISAMATH,TOT,532.0
120,Canada,CAN,2003,32225.05212,PISAREAD,BOY,514.0
121,Canada,CAN,2003,32225.05212,PISAREAD,GIRL,546.0
122,Canada,CAN,2003,32225.05212,PISAREAD,TOT,528.0
123,Switzerland,CHE,2003,37713.3375,PISAMATH,BOY,535.0
124,Switzerland,CHE,2003,37713.3375,PISAMATH,GIRL,518.0
125,Switzerland,CHE,2003,37713.3375,PISAMATH,TOT,527.0
126,Switzerland,CHE,2003,37713.3375,PISAREAD,BOY,482.0
127,Switzerland,CHE,2003,37713.3375,PISAREAD,GIRL,517.0
128,Switzerland,CHE,2003,37713.3375,PISAREAD,TOT,499.0
129,Czech Republic,CZE,2003,19426.08513,PISAMATH,BOY,524.0
130,Czech Republic,CZE,2003,19426.08513,PISAMATH,GIRL,509.0
131,Czech Republic,CZE,2003,19426.08513,PISAMATH,TOT,516.0
132,Czech Republic,CZE,2003,19426.08513,PISAREAD,BOY,473.0
133,Czech Republic,CZE,2003,19426.08513,PISAREAD,GIRL,504.0
134,Czech Republic,CZE,2003,19426.08513,PISAREAD,TOT,489.0
135,Germany,DEU,2003,29875.02793,PISAMATH,BOY,508.0
136,Germany,DEU,2003,29875.02793,PISAMATH,GIRL,499.0
137,Germany,DEU,2003,29875.02793,PISAMATH,TOT,503.0
138,Germany,DEU,2003,29875.02793,PISAREAD,BOY,471.0
139,Germany,DEU,2003,29875.02793,PISAREAD,GIRL,513.0
140,Germany,DEU,2003,29875.02793,PISAREAD,TOT,491.0
141,Denmark,DNK,2003,30786.24895,PISAMATH,BOY,523.0
142,Denmark,DNK,2003,30786.24895,PISAMATH,GIRL,506.0
143,Denmark,DNK,2003,30786.24895,PISAMATH,TOT,514.0
144,Denmark,DNK,2003,30786.24895,PISAREAD,BOY,479.0
145,Denmark,DNK,2003,30786.24895,PISAREAD,GIRL,505.0
146,Denmark,DNK,2003,30786.24895,PISAREAD,TOT,492.0
147,Spain,ESP,2003,25018.36612,PISAMATH,BOY,490.0
148,Spain,ESP,2003,25018.36612,PISAMATH,GIRL,481.0
149,Spain,ESP,2003,25018.36612,PISAMATH,TOT,485.0
150,Spain,ESP,2003,25018.36612,PISAREAD,BOY,461.0
151,Spain,ESP,2003,25018.36612,PISAREAD,GIRL,500.0
152,Spain,ESP,2003,25018.36612,PISAREAD,TOT,481.0
153,Finland,FIN,2003,29019.3104,PISAMATH,BOY,548.0
154,Finland,FIN,2003,29019.3104,PISAMATH,GIRL,541.0
155,Finland,FIN,2003,29019.3104,PISAMATH,TOT,544.0
156,Finland,FIN,2003,29019.3104,PISAREAD,BOY,521.0
157,Finland,FIN,2003,29019.3104,PISAREAD,GIRL,565.0
158,Finland,FIN,2003,29019.3104,PISAREAD,TOT,543.0
159,France,FRA,2003,28141.4614,PISAMATH,BOY,515.0
160,France,FRA,2003,28141.4614,PISAMATH,GIRL,507.0
161,France,FRA,2003,28141.4614,PISAMATH,TOT,511.0
162,France,FRA,2003,28141.4614,PISAREAD,BOY,476.0
163,France,FRA,2003,28141.4614,PISAREAD,GIRL,514.0
164,France,FRA,2003,28141.4614,PISAREAD,TOT,496.0
165,Greece,GRC,2003,23870.1601,PISAMATH,BOY,455.0
166,Greece,GRC,2003,23870.1601,PISAMATH,GIRL,436.0
167,Greece,GRC,2003,23870.1601,PISAMATH,TOT,445.0
168,Greece,GRC,2003,23870.1601,PISAREAD,BOY,453.0
169,Greece,GRC,2003,23870.1601,PISAREAD,GIRL,490.0
170,Greece,GRC,2003,23870.1601,PISAREAD,TOT,472.0
171,Hungary,HUN,2003,15464.17155,PISAMATH,BOY,494.0
172,Hungary,HUN,2003,15464.17155,PISAMATH,GIRL,486.0
173,Hungary,HUN,2003,15464.17155,PISAMATH,TOT,490.0
174,Hungary,HUN,2003,15464.17155,PISAREAD,BOY,467.0
175,Hungary,HUN,2003,15464.17155,PISAREAD,GIRL,498.0
176,Hungary,HUN,2003,15464.17155,PISAREAD,TOT,482.0
177,Indonesia,IDN,2003,5323.104507,PISAMATH,BOY,362.0
178,Indonesia,IDN,2003,5323.104507,PISAMATH,GIRL,358.0
179,Indonesia,IDN,2003,5323.104507,PISAMATH,TOT,360.0
180,Indonesia,IDN,2003,5323.104507,PISAREAD,BOY,369.0
181,Indonesia,IDN,2003,5323.104507,PISAREAD,GIRL,394.0
182,Indonesia,IDN,2003,5323.104507,PISAREAD,TOT,382.0
183,Ireland,IRL,2003,36237.77128,PISAMATH,BOY,510.0
184,Ireland,IRL,2003,36237.77128,PISAMATH,GIRL,495.0
185,Ireland,IRL,2003,36237.77128,PISAMATH,TOT,503.0
186,Ireland,IRL,2003,36237.77128,PISAREAD,BOY,501.0
187,Ireland,IRL,2003,36237.77128,PISAREAD,GIRL,530.0
188,Ireland,IRL,2003,36237.77128,PISAREAD,TOT,515.0
189,Iceland,ISL,2003,32619.35874,PISAMATH,BOY,508.0
190,Iceland,ISL,2003,32619.35874,PISAMATH,GIRL,523.0
191,Iceland,ISL,2003,32619.35874,PISAMATH,TOT,515.0
192,Iceland,ISL,2003,32619.35874,PISAREAD,BOY,464.0
193,Iceland,ISL,2003,32619.35874,PISAREAD,GIRL,522.0
194,Iceland,ISL,2003,32619.35874,PISAREAD,TOT,492.0
195,Italy,ITA,2003,29164.59527,PISAMATH,BOY,475.0
196,Italy,ITA,2003,29164.59527,PISAMATH,GIRL,457.0
197,Italy,ITA,2003,29164.59527,PISAMATH,TOT,466.0
198,Italy,ITA,2003,29164.59527,PISAREAD,BOY,455.0
199,Italy,ITA,2003,29164.59527,PISAREAD,GIRL,495.0
200,Italy,ITA,2003,29164.59527,PISAREAD,TOT,476.0
201,Japan,JPN,2003,28924.68216,PISAMATH,BOY,539.0
202,Japan,JPN,2003,28924.68216,PISAMATH,GIRL,530.0
203,Japan,JPN,2003,28924.68216,PISAMATH,TOT,534.0
204,Japan,JPN,2003,28924.68216,PISAREAD,BOY,487.0
205,Japan,JPN,2003,28924.68216,PISAREAD,GIRL,509.0
206,Japan,JPN,2003,28924.68216,PISAREAD,TOT,498.0
207,"Korea, Rep.",KOR,2003,21376.76617,PISAMATH,BOY,552.0
208,"Korea, Rep.",KOR,2003,21376.76617,PISAMATH,GIRL,528.0
209,"Korea, Rep.",KOR,2003,21376.76617,PISAMATH,TOT,542.0
210,"Korea, Rep.",KOR,2003,21376.76617,PISAREAD,BOY,525.0
211,"Korea, Rep.",KOR,2003,21376.76617,PISAREAD,GIRL,547.0
212,"Korea, Rep.",KOR,2003,21376.76617,PISAREAD,TOT,534.0
213,Luxembourg,LUX,2003,60039.29874,PISAMATH,BOY,502.0
214,Luxembourg,LUX,2003,60039.29874,PISAMATH,GIRL,485.0
215,Luxembourg,LUX,2003,60039.29874,PISAMATH,TOT,493.0
216,Luxembourg,LUX,2003,60039.29874,PISAREAD,BOY,463.0
217,Luxembourg,LUX,2003,60039.29874,PISAREAD,GIRL,496.0
218,Luxembourg,LUX,2003,60039.29874,PISAREAD,TOT,479.0
219,Latvia,LVA,2003,11010.88527,PISAMATH,TOT,483.0
220,Latvia,LVA,2003,11010.88527,PISAREAD,TOT,491.0
221,Mexico,MEX,2003,11482.44959,PISAMATH,BOY,391.0
222,Mexico,MEX,2003,11482.44959,PISAMATH,GIRL,380.0
223,Mexico,MEX,2003,11482.44959,PISAMATH,TOT,385.0
224,Mexico,MEX,2003,11482.44959,PISAREAD,BOY,389.0
225,Mexico,MEX,2003,11482.44959,PISAREAD,GIRL,410.0
226,Mexico,MEX,2003,11482.44959,PISAREAD,TOT,400.0
227,Netherlands,NLD,2003,34111.80335,PISAMATH,BOY,540.0
228,Netherlands,NLD,2003,34111.80335,PISAMATH,GIRL,535.0
229,Netherlands,NLD,2003,34111.80335,PISAMATH,TOT,538.0
230,Netherlands,NLD,2003,34111.80335,PISAREAD,BOY,503.0
231,Netherlands,NLD,2003,34111.80335,PISAREAD,GIRL,524.0
232,Netherlands,NLD,2003,34111.80335,PISAREAD,TOT,513.0
233,Norway,NOR,2003,38550.95539,PISAMATH,BOY,498.0
234,Norway,NOR,2003,38550.95539,PISAMATH,GIRL,492.0
235,Norway,NOR,2003,38550.95539,PISAMATH,TOT,495.0
236,Norway,NOR,2003,38550.95539,PISAREAD,BOY,475.0
237,Norway,NOR,2003,38550.95539,PISAREAD,GIRL,525.0
238,Norway,NOR,2003,38550.95539,PISAREAD,TOT,500.0
239,New Zealand,NZL,2003,23967.42075,PISAMATH,BOY,531.0
240,New Zealand,NZL,2003,23967.42075,PISAMATH,GIRL,516.0
241,New Zealand,NZL,2003,23967.42075,PISAMATH,TOT,523.0
242,New Zealand,NZL,2003,23967.42075,PISAREAD,BOY,508.0
243,New Zealand,NZL,2003,23967.42075,PISAREAD,GIRL,535.0
244,New Zealand,NZL,2003,23967.42075,PISAREAD,TOT,522.0
245,Poland,POL,2003,12257.14487,PISAMATH,BOY,493.0
246,Poland,POL,2003,12257.14487,PISAMATH,GIRL,487.0
247,Poland,POL,2003,12257.14487,PISAMATH,TOT,490.0
248,Poland,POL,2003,12257.14487,PISAREAD,BOY,477.0
249,Poland,POL,2003,12257.14487,PISAREAD,GIRL,516.0
250,Poland,POL,2003,12257.14487,PISAREAD,TOT,497.0
251,Portugal,PRT,2003,20827.98424,PISAMATH,BOY,472.0
