,Country,Country Code,year,GDP,LOCATION,INDICATOR,SUBJECT,TIME,Value
74,Norway,NOR,2000,36941.60093,NOR,PISAREAD,TOT,2000,505.0
75,New Zealand,NZL,2000,21521.70657,NZL,PISAREAD,BOY,2000,507.0
76,New Zealand,NZL,2000,21521.70657,NZL,PISAREAD,GIRL,2000,553.0
77,New Zealand,NZL,2000,21521.70657,NZL,PISAREAD,TOT,2000,529.0
78,Poland,POL,2000,10652.90829,POL,PISAREAD,BOY,2000,461.0
79,Poland,POL,2000,10652.90829,POL,PISAREAD,GIRL,2000,497.0
80,Poland,POL,2000,10652.90829,POL,PISAREAD,TOT,2000,479.0
81,Portugal,PRT,2000,18879.28669,PRT,PISAREAD,BOY,2000,458.0
82,Portugal,PRT,2000,18879.28669,PRT,PISAREAD,GIRL,2000,482.0
83,Portugal,PRT,2000,18879.28669,PRT,PISAREAD,TOT,2000,470.0
84,Russian Federation,RUS,2000,6825.406038,RUS,PISAREAD,BOY,2000,443.0
85,Russian Federation,RUS,2000,6825.406038,RUS,PISAREAD,GIRL,2000,481.0
86,Russian Federation,RUS,2000,6825.406038,RUS,PISAREAD,TOT,2000,462.0
87,Sweden,SWE,2000,29453.55155,SWE,PISAREAD,BOY,2000,499.0
88,Sweden,SWE,2000,29453.55155,SWE,PISAREAD,GIRL,2000,536.0
89,Sweden,SWE,2000,29453.55155,SWE,PISAREAD,TOT,2000,516.0
90,United States,USA,2000,36334.90878,USA,PISAREAD,BOY,2000,490.0
91,United States,USA,2000,36334.90878,USA,PISAREAD,GIRL,2000,518.0
92,United States,USA,2000,36334.90878,USA,PISAREAD,TOT,2000,504.0
93,Australia,AUS,2003,29693.90591,AUS,PISAMATH,BOY,2003,527.0
94,Australia,AUS,2003,29693.90591,AUS,PISAMATH,GIRL,2003,522.0
95,Australia,AUS,2003,29693.90591,AUS,PISAMATH,TOT,2003,524.0
96,Australia,AUS,2003,29693.90591,AUS,PISAREAD,BOY,2003,506.0
97,Australia,AUS,2003,29693.90591,AUS,PISAREAD,GIRL,2003,545.0
98,Australia,AUS,2003,29693.90591,AUS,PISAREAD,TOT,2003,525.0
99,Austria,AUT,2003,32108.63255,AUT,PISAMATH,BOY,2003,509.0
100,Austria,AUT,2003,32108.63255,AUT,PISAMATH,GIRL,2003,502.0
101,Austria,AUT,2003,32108.63255,AUT,PISAMATH,TOT,2003,506.0
102,Austria,AUT,2003,32108.63255,AUT,PISAREAD,BOY,2003,467.0
103,Austria,AUT,2003,32108.63255,AUT,PISAREAD,GIRL,2003,514.0
104,Austria,AUT,2003,32108.63255,AUT,PISAREAD,TOT,2003,491.0
105,Belgium,BEL,2003,30898.60744,BEL,PISAMATH,BOY,2003,533.0
106,Belgium,BEL,2003,30898.60744,BEL,PISAMATH,GIRL,2003,525.0
107,Belgium,BEL,2003,30898.60744,BEL,PISAMATH,TOT,2003,529.0
108,Belgium,BEL,2003,30898.60744,BEL,PISAREAD,BOY,2003,489.0
109,Belgium,BEL,2003,30898.60744,BEL,PISAREAD,GIRL,2003,526.0
110,Belgium,BEL,2003,30898.60744,BEL,PISAREAD,TOT,2003,507.0
111,Brazil,BRA,2003,9747.941038,BRA,PISAMATH,BOY,2003,365.0
112,Brazil,BRA,2003,9747.941038,BRA,PISAMATH,GIRL,2003,348.0
113,Brazil,BRA,2003,9747.941038,BRA,PISAMATH,TOT,2003,356.0
114,Brazil,BRA,2003,9747.941038,BRA,PISAREAD,BOY,2003,384.0
115,Brazil,BRA,2003,9747.941038,BRA,PISAREAD,GIRL,2003,419.0
116,Brazil,BRA,2003,9747.941038,BRA,PISAREAD,TOT,2003,403.0
117,Canada,CAN,2003,32225.05212,CAN,PISAMATH,BOY,2003,541.0
118,Canada,CAN,2003,32225.05212,CAN,PISAMATH,GIRL,2003,530.0
119,Canada,CAN,2003,32225.05212,CAN,PISAMATH,TOT,2003,532.0
120,Canada,CAN,2003,32225.05212,CAN,PISAREAD,BOY,2003,514.0
121,Canada,CAN,2003,32225.05212,CAN,PISAREAD,GIRL,2003,546.0
122,Canada,CAN,2003,32225.05212,CAN,PISAREAD,TOT,2003,528.0
123,Switzerland,CHE,2003,37713.3375,CHE,PISAMATH,BOY,2003,535.0
124,Switzerland,CHE,2003,37713.3375,CHE,PISAMATH,GIRL,2003,518.0
125,Switzerland,CHE,2003,37713.3375,CHE,PISAMATH,TOT,2003,527.0
126,Switzerland,CHE,2003,37713.3375,CHE,PISAREAD,BOY,2003,482.0
127,Switzerland,CHE,2003,37713.3375,CHE,PISAREAD,GIRL,2003,517.0
128,Switzerland,CHE,2003,37713.3375,CHE,PISAREAD,TOT,2003,499.0
129,Czech Republic,CZE,2003,19426.08513,CZE,PISAMATH,BOY,2003,524.0
130,Czech Republic,CZE,2003,19426.08513,CZE,PISAMATH,GIRL,2003,509.0
131,Czech Republic,CZE,2003,19426.08513,CZE,PISAMATH,TOT,2003,516.0
132,Czech Republic,CZE,2003,19426.08513,CZE,PISAREAD,BOY,2003,473.0
133,Czech Republic,CZE,2003,19426.08513,CZE,PISAREAD,GIRL,2003,504.0
134,Czech Republic,CZE,2003,19426.08513,CZE,PISAREAD,TOT,2003,489.0
135,Germany,DEU,2003,29875.02793,DEU,PISAMATH,BOY,2003,508.0
136,Germany,DEU,2003,29875.02793,DEU,PISAMATH,GIRL,2003,499.0
137,Germany,DEU,2003,29875.02793,DEU,PISAMATH,TOT,2003,503.0
138,Germany,DEU,2003,29875.02793,DEU,PISAREAD,BOY,2003,471.0
139,Germany,DEU,2003,29875.02793,DEU,PISAREAD,GIRL,2003,513.0
140,Germany,DEU,2003,29875.02793,DEU,PISAREAD,TOT,2003,491.0
141,Denmark,DNK,2003,30786.24895,DNK,PISAMATH,BOY,2003,523.0
142,Denmark,DNK,2003,30786.24895,DNK,PISAMATH,GIRL,2003,506.0
143,Denmark,DNK,2003,30786.24895,DNK,PISAMATH,TOT,2003,514.0
144,Denmark,DNK,2003,30786.24895,DNK,PISAREAD,BOY,2003,479.0
145,Denmark,DNK,2003,30786.24895,DNK,PISAREAD,GIRL,2003,505.0
146,Denmark,DNK,2003,30786.24895,DNK,PISAREAD,TOT,2003,492.0
147,Spain,ESP,2003,25018.36612,ESP,PISAMATH,BOY,2003,490.0
148,Spain,ESP,2003,25018.36612,ESP,PISAMATH,GIRL,2003,481.0
149,Spain,ESP,2003,25018.36612,ESP,PISAMATH,TOT,2003,485.0
150,Spain,ESP,2003,25018.36612,ESP,PISAREAD,BOY,2003,461.0
151,Spain,ESP,2003,25018.36612,ESP,PISAREAD,GIRL,2003,500.0
152,Spain,ESP,2003,25018.36612,ESP,PISAREAD,TOT,2003,481.0
153,Finland,FIN,2003,29019.3104,FIN,PISAMATH,BOY,2003,548.0
154,Finland,FIN,2003,29019.3104,FIN,PISAMATH,GIRL,2003,541.0
155,Finland,FIN,2003,29019.3104,FIN,PISAMATH,TOT,2003,544.0
156,Finland,FIN,2003,29019.3104,FIN,PISAREAD,BOY,2003,521.0
157,Finland,FIN,2003,29019.3104,FIN,PISAREAD,GIRL,2003,565.0
158,Finland,FIN,2003,29019.3104,FIN,PISAREAD,TOT,2003,543.0
